description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
1 1/2 CAPS GALV,,1,6.0,5.83,5.83,5.83,2026-03-19,"1-1/2"" Caps Galv"
1 1/2 PLUGS GALV,,1,4.0,6.26,6.26,6.26,2026-03-19,"1-1/2"" Plugs Galv"
UDC COVER,,1,4.0,197.83,197.83,197.83,2026-03-19,UDC cover
1 1/2 90,,1,1.0,6.77,6.77,6.77,2026-03-19,"1-1/2"" 90"
1 1/2 X 6 NIPPLE,,1,1.0,7.81,7.81,7.81,2026-03-19,"1-1/2"" X 6"" Nipple"
1 1/2 X 4 NIPPLE,,1,1.0,8.5,8.5,8.5,2026-03-19,"1-1/2"" X 4"" Nipple"
1 1/2 UNION,,1,1.0,21.23,21.23,21.23,2026-03-19,"1-1/2"" Union"
2 GALVANIZED UNION,,1,1.0,30.92,30.92,30.92,2026-03-23,"2"" Galvanized Union"
CAMERA 2/12/26,,1,1.0,1137.5,1137.5,1137.5,2026-03-23,Camera 2/12/26
CAMERA 2/19/26,,1,1.0,487.5,487.5,487.5,2026-03-23,Camera 2/19/26
HOTEL,,1,1.0,191.75,191.75,191.75,2026-03-23,Hotel
1 1/2 X 11 STEEL NIPPLE,,1,1.0,12.94,12.94,12.94,2026-04-13,"1-1/2"" X 11"" Steel Nipple"
TERMINATION TEST KITS FRP,,1,26.0,29.91,29.91,29.91,2026-04-13,Termination test kits FRP
GRD STPTERMKITFRP,,1,2.0,29.91,29.91,29.91,2026-04-14,GRD-STPTERMKITFRP
PULL BEHIND AC,,1,2.0,18.92,18.92,18.92,2026-04-16,Pull behind AC
GIL M14330A001,,1,1.0,1853.89,1853.89,1853.89,2026-04-21,GIL-M14330A001 (Verifone card reader)
GIL M13888K901,,1,1.0,2078.13,2078.13,2078.13,2026-04-21,GIL-M13888K901 (UPM)
OPW NON VAP BREAKAWAY,NOZ-OPW66REC-1000,1,2.0,54.03,54.03,54.03,2026-04-21,OPW Non VAP Breakaway (NOZ-OPW66REC-1000)
OPW NON VAP SWIVEL,NOZ-OPW241TPS-024,1,2.0,22.75,22.75,22.75,2026-04-21,OPW NON VAP Swivel (NOZ-OPW241TPS-024)
OPW 11B 0100 GREEN NOZZLE,NOZ-OPW11B-0100,1,2.0,64.11,64.11,64.11,2026-04-21,OPW 11B-0100 Green Nozzle (NOZ-OPW11B-0100)
WHIP HOSE,124021,1,2.0,14.98,14.98,14.98,2026-04-21,Whip Hose (124021)
HOSE,124285,1,2.0,52.42,52.42,52.42,2026-04-21,Hose (124285)
GREEN SPLASHGUARD OPW8G 0100,,1,2.0,5.91,5.91,5.91,2026-04-21,Green splashguard OPW8G-0100
CONCRETE ANCHORS,,1,4.0,6.24,6.24,6.24,2026-04-21,Concrete Anchors
END RUNS,,1,18.0,29.91,29.91,29.91,2026-04-22,End Runs
OPW BARB FITTINGS CLAMSHELLS,,1,2.0,349.83,349.83,349.83,2026-04-22,OPW Barb Fittings Clamshells
IBOND,,1,1.0,64.8,64.8,64.8,2026-04-22,Ibond
4 BLACK STEEL PIPE,,1,14.0,26.14,26.14,26.14,2026-04-22,"4"" Black Steel pipe"
SELF LEVELING CAULK,,1,3.0,13.82,13.82,13.82,2026-04-22,Self Leveling Caulk
PRIMER,,1,1.0,16.89,16.89,16.89,2026-04-22,Primer
1 1/2 X 1 1/4 STAINLESS STEEL BUSHING,,1,2.0,18.59,18.59,18.59,2026-04-23,"1-1/2"" x 1-1/4"" Stainless Steel Bushing"
1 1/4 X 1 STAINLESS STEEL BUSHING,,1,2.0,15.68,15.68,15.68,2026-04-23,"1-1/4"" X 1"" Stainless Steel Bushing"
1 1/2 DEF SHEAR VALVE STAINLESS STEEL,,1,2.0,293.89,293.89,293.89,2026-04-23,"1-1/2"" DEF Shear Valve stainless steel"
DF FST 16 1 INCH DEF TRAC STAINLESS STEEL FIELD ATTACHABLE FITTING,,1,2.0,180.55,180.55,180.55,2026-04-23,DF-FST-16 1 Inch Def-Trac Stainless Steel Field Attachable Fitting
DF BTNP 16KT 1 INCH DEF TRAC BOOT KIT NUT/ PIPE,,1,2.0,121.43,121.43,121.43,2026-04-23,DF-BTNP-16KT 1 Inch Def-Trac Boot Kit - Nut/ Pipe
DF BTHP 16KT 1 INCH DEF TRAC BOOT KIT HEAT TRACE BUNDLE/ PIPE,,1,2.0,211.45,211.45,211.45,2026-04-23,DF-BTHP-16KT 1 Inch Def-Trac Boot Kit - Heat Trace Bundle/ Pipe
DF SCTK 1D THREAD SEALANT PRIMER DRIPSTOP 50 4 OUNCE,,1,1.0,50.67,50.67,50.67,2026-04-23,DF-SCTK-1D Thread Sealant Primer - Dripstop 50 - 4 Ounce
DF TS940 250 THREAD SEALANT DRIPSTOP 940 250 MILLILITER,,1,1.0,149.19,149.19,149.19,2026-04-23,DF-TS940-250 Thread Sealant - Dripstop 940 - 250 Milliliter
TEST HOSES TERMINATION,,1,2.0,29.91,29.91,29.91,2026-04-23,Test hoses - termination
CONDUIT CLEAR,,1,1.0,18.92,18.92,18.92,2026-04-28,Conduit clear (Vinager 45%)
NIPPLES,,1,1.0,7.96,7.96,7.96,2026-04-29,Nipples
3 X 3 NIPPLE,,1,1.0,2.9,2.9,2.9,2026-04-29,"3"" X 3"" Nipple"
LOCK OUT TAG OUT KITS,,1,6.0,10.16,10.16,10.16,2026-05-12,Lock Out Tag Out Kits
LOCK OUT TAG OUT LOCKS,,1,8.0,9.28,9.28,9.28,2026-05-12,Lock Out Tag Out locks (6 lock outs and 2 fills)
1 5 CAPS,,1,5.0,5.83,5.83,5.83,2026-05-12,"1.5"" caps"
1 5 PLUGS,,1,1.0,6.26,6.26,6.26,2026-05-12,"1.5"" plugs"
UDC COVERS,,1,2.0,197.83,197.83,197.83,2026-05-12,UDC covers
VINAGER 45,,1,1.0,18.92,18.92,18.92,2026-05-12,Vinager 45%
STP TERMINATION KIT FLEX GRD STPTERMKITFLEX,,1,4.0,30.69,30.69,30.69,2026-05-13,STP termination kit Flex - GRD-STPTERMKITFlex
JUMPER KIT FLEX GRD JUMPERKITFLEX,,1,2.0,28.6,28.6,28.6,2026-05-13,Jumper kit Flex - GRD-JUMPERKITFlex
FABRICATED DISPENSER STAND,,1,1.0,97.98,97.98,97.98,2026-05-18,Fabricated Dispenser Stand
